subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,prompt_used,llm_history_context_turns
7,1,3,1,Q,-1,0.25,"Casino 3, visit 1: Choose Q or C.",1
7,2,1,1,H,1,0.5,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 1: Choose Z or H.",2
7,3,3,2,C,-1,0.75,"Machine H in Casino 1 delivered 1 points.

Casino 3, visit 2: Choose Q or C.",3
7,4,2,1,M,-1,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 2, visit 1: Choose M or T.",4
7,5,3,3,Q,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 3, visit 3: Choose Q or C.",5
7,6,1,2,H,-1,0.5,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 2: Choose Z or H.",6
7,7,3,4,C,1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 4: Choose Q or C.",7
7,8,2,2,T,1,0.25,"Machine C in Casino 3 delivered 1 points.

Casino 2, visit 2: Choose M or T.",8
7,9,2,3,T,1,0.25,"Machine T in Casino 2 delivered 1 points.

Casino 2, visit 3: Choose M or T.",9
7,10,3,5,C,-1,0.75,"Machine T in Casino 2 delivered 1 points.

Casino 3, visit 5: Choose Q or C.",10
7,11,2,4,T,-1,0.25,"Machine C in Casino 3 delivered -1 points.

Casino 2, visit 4: Choose M or T.",11
7,12,1,3,H,-1,0.5,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 3: Choose Z or H.",12
7,13,3,6,C,1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 6: Choose Q or C.",13
7,14,2,5,T,-1,0.25,"Machine C in Casino 3 delivered 1 points.

Casino 2, visit 5: Choose M or T.",14
7,15,2,6,M,1,0.75,"Machine T in Casino 2 delivered -1 points.

Casino 2, visit 6: Choose M or T.",15
7,16,1,4,Z,-1,0.5,"Machine M in Casino 2 delivered 1 points.

Casino 1, visit 4: Choose Z or H.",16
7,17,1,5,H,-1,0.5,"Machine Z in Casino 1 delivered -1 points.

Casino 1, visit 5: Choose Z or H.",17
7,18,2,7,M,1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 7: Choose M or T.",18
7,19,2,8,M,1,0.75,"Machine M in Casino 2 delivered 1 points.

Casino 2, visit 8: Choose M or T.",19
7,20,3,7,C,-1,0.75,"Machine M in Casino 2 delivered 1 points.

Casino 3, visit 7: Choose Q or C.",20
7,21,2,9,M,-1,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 2, visit 9: Choose M or T.",21
