"subject_id","trial_index","casino","visit_in_casino","chosen_machine_label","reward","prob_of_no_loss","prompt_used","llm_history_context_turns","subj","decision"
1,1,1,1,"Z",-1,0.25,"Casino 1, visit 1: Choose Z or H.",1,1,1
1,2,4,1,"F",0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 1: Choose G or F.",2,1,2
1,3,4,2,"F",-1,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 2: Choose G or F.",3,1,2
1,4,2,1,"T",0,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 2, visit 1: Choose M or T.",4,1,2
1,5,3,1,"Q",0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 1: Choose Q or C.",5,1,1
1,6,4,3,"G",0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 3: Choose G or F.",6,1,1
1,7,4,4,"G",0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 4: Choose G or F.",7,1,1
1,8,2,2,"T",0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 2: Choose M or T.",8,1,2
1,9,1,2,"H",-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 2: Choose Z or H.",9,1,2
1,10,4,5,"G",0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 5: Choose G or F.",10,1,1
1,11,1,3,"Z",0,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 3: Choose Z or H.",11,1,1
1,12,1,4,"Z",0,0.25,"Machine Z in Casino 1 delivered 0 points.

Casino 1, visit 4: Choose Z or H.",12,1,1
1,13,2,3,"T",0,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 2, visit 3: Choose M or T.",13,1,2
1,14,3,2,"Q",0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 2: Choose Q or C.",14,1,1
1,15,3,3,"Q",-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 3: Choose Q or C.",15,1,1
1,16,1,5,"Z",-1,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 5: Choose Z or H.",16,1,1
1,17,3,4,"C",0,0.25,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 4: Choose Q or C.",17,1,2
1,18,2,4,"T",-1,0.75,"Machine C in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18,1,2
1,19,1,6,"Z",-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 6: Choose Z or H.",19,1,1
1,20,4,6,"G",0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 6: Choose G or F.",20,1,1
1,21,3,5,"C",0,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 3, visit 5: Choose Q or C.",21,1,2
1,22,3,6,"C",-1,0.25,"Machine C in Casino 3 delivered 0 points.

Casino 3, visit 6: Choose Q or C.",22,1,2
1,23,1,7,"H",-1,0.25,"Machine C in Casino 3 delivered -1 points.

Casino 1, visit 7: Choose Z or H.",23,1,2
1,24,3,7,"Q",0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 7: Choose Q or C.",24,1,1
1,25,3,8,"Q",0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 8: Choose Q or C.",25,1,1
1,26,3,9,"Q",0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 9: Choose Q or C.",26,1,1
1,27,4,7,"G",0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 7: Choose G or F.",27,1,1
1,28,4,8,"G",0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 8: Choose G or F.",28,1,1
1,29,2,5,"T",0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 5: Choose M or T.",29,1,2
1,30,4,9,"G",0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 9: Choose G or F.",30,1,1
1,31,2,6,"T",-1,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 6: Choose M or T.",31,1,2
1,32,1,8,"Z",0,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 8: Choose Z or H.",32,1,1
1,33,2,7,"M",-1,0.25,"Machine Z in Casino 1 delivered 0 points.

Casino 2, visit 7: Choose M or T.",33,1,1
1,34,4,10,"G",0,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 4, visit 10: Choose G or F.",34,1,1
1,35,1,9,"Z",0,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 9: Choose Z or H.",35,1,1
1,36,4,11,"G",0,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 4, visit 11: Choose G or F.",36,1,1
1,37,2,8,"T",-1,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 8: Choose M or T.",37,1,2
1,38,2,9,"M",-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 2, visit 9: Choose M or T.",38,1,1
1,39,3,10,"Q",0,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 3, visit 10: Choose Q or C.",39,1,1
1,40,1,10,"Z",0,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 10: Choose Z or H.",40,1,1
1,41,3,11,"Q",-1,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 3, visit 11: Choose Q or C.",41,1,1
1,42,4,12,"G",0,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 4, visit 12: Choose G or F.",42,1,1
1,43,1,11,"Z",-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 11: Choose Z or H.",43,1,1
1,44,4,13,"G",0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 13: Choose G or F.",44,1,1
1,45,3,12,"C",-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 3, visit 12: Choose Q or C.",45,1,2
1,46,2,10,"T",0,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 2, visit 10: Choose M or T.",46,1,2
1,47,4,14,"G",0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 14: Choose G or F.",47,1,1
1,48,4,15,"G",0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 15: Choose G or F.",48,1,1
1,49,1,12,"Z",0,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 12: Choose Z or H.",49,1,1
