subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,outcome_numeric,unchosen_machine_label,prob_of_no_loss_unchosen,counterfactual_reward,counterfactual_outcome_numeric,prompt_used,llm_history_context_turns
47,1,1,1,Z,0,0.25,0,H,0.25,0,0,"Casino 1, visit 1: Choose Z or H.",1
47,2,4,1,F,1,0.75,1,G,0.75,0,0,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a loss (Reward: 0).

Casino 4, visit 1: Choose G or F.",2
47,3,4,2,F,0,0.75,0,G,0.75,1,1,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a loss (Reward: 0).

Casino 4, visit 2: Choose G or F.",3
47,4,2,1,M,0,0.25,0,T,0.75,0,0,"Outcome: You chose Machine F and experienced a loss (Reward: 0). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 2, visit 1: Choose M or T.",4
47,5,3,1,C,0,0.25,0,Q,0.75,1,1,"Outcome: You chose Machine M and experienced a loss (Reward: 0). The other machine, Machine T, would have resulted in a loss (Reward: 0).

Casino 3, visit 1: Choose Q or C.",5
47,6,4,3,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine C and experienced a loss (Reward: 0). The other machine, Machine Q, would have resulted in a win (Reward: 1).

Casino 4, visit 3: Choose G or F.",6
47,7,4,4,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 4, visit 4: Choose G or F.",7
47,8,2,2,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 2, visit 2: Choose M or T.",8
47,9,1,2,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 1, visit 2: Choose Z or H.",9
47,10,4,5,G,1,0.75,1,F,0.75,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 4, visit 5: Choose G or F.",10
47,11,1,3,Z,0,0.25,0,H,0.25,0,0,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a loss (Reward: 0).

Casino 1, visit 3: Choose Z or H.",11
47,12,1,4,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a loss (Reward: 0).

Casino 1, visit 4: Choose Z or H.",12
47,13,2,3,M,0,0.25,0,T,0.75,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 2, visit 3: Choose M or T.",13
47,14,3,2,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine M and experienced a loss (Reward: 0). The other machine, Machine T, would have resulted in a loss (Reward: 0).

Casino 3, visit 2: Choose Q or C.",14
47,15,3,3,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 3, visit 3: Choose Q or C.",15
47,16,1,5,Z,0,0.25,0,H,0.25,1,1,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 5: Choose Z or H.",16
47,17,3,4,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 3, visit 4: Choose Q or C.",17
47,18,2,4,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 2, visit 4: Choose M or T.",18
47,19,1,6,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 1, visit 6: Choose Z or H.",19
47,20,4,6,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 4, visit 6: Choose G or F.",20
47,21,3,5,Q,0,0.75,0,C,0.25,1,1,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 3, visit 5: Choose Q or C.",21
47,22,3,6,C,0,0.25,0,Q,0.75,1,1,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a win (Reward: 1).

Casino 3, visit 6: Choose Q or C.",22
47,23,1,7,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine C and experienced a loss (Reward: 0). The other machine, Machine Q, would have resulted in a win (Reward: 1).

Casino 1, visit 7: Choose Z or H.",23
47,24,3,7,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 3, visit 7: Choose Q or C.",24
47,25,3,8,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 3, visit 8: Choose Q or C.",25
47,26,3,9,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 3, visit 9: Choose Q or C.",26
47,27,4,7,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 4, visit 7: Choose G or F.",27
47,28,4,8,G,0,0.75,0,F,0.75,1,1,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 4, visit 8: Choose G or F.",28
47,29,2,5,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine G and experienced a loss (Reward: 0). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 2, visit 5: Choose M or T.",29
47,30,4,9,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 4, visit 9: Choose G or F.",30
47,31,2,6,T,0,0.75,0,M,0.25,1,1,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 2, visit 6: Choose M or T.",31
47,32,1,8,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 1, visit 8: Choose Z or H.",32
47,33,2,7,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 2, visit 7: Choose M or T.",33
47,34,4,10,G,0,0.75,0,F,0.75,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 4, visit 10: Choose G or F.",34
47,35,1,9,Z,0,0.25,0,H,0.25,1,1,"Outcome: You chose Machine G and experienced a loss (Reward: 0). The other machine, Machine F, would have resulted in a loss (Reward: 0).

Casino 1, visit 9: Choose Z or H.",35
47,36,4,11,F,1,0.75,1,G,0.75,0,0,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 4, visit 11: Choose G or F.",36
47,37,2,8,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a loss (Reward: 0).

Casino 2, visit 8: Choose M or T.",37
47,38,2,9,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 2, visit 9: Choose M or T.",38
47,39,3,10,Q,1,0.75,1,C,0.25,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 3, visit 10: Choose Q or C.",39
47,40,1,10,H,0,0.25,0,Z,0.25,1,1,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a win (Reward: 1).

Casino 1, visit 10: Choose Z or H.",40
47,41,3,11,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a win (Reward: 1).

Casino 3, visit 11: Choose Q or C.",41
47,42,4,12,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 4, visit 12: Choose G or F.",42
47,43,1,11,Z,0,0.25,0,H,0.25,1,1,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 1, visit 11: Choose Z or H.",43
47,44,4,13,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 4, visit 13: Choose G or F.",44
47,45,3,12,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 3, visit 12: Choose Q or C.",45
47,46,2,10,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 2, visit 10: Choose M or T.",46
47,47,4,14,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 4, visit 14: Choose G or F.",47
47,48,4,15,F,1,0.75,1,G,0.75,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 4, visit 15: Choose G or F.",48
47,49,1,12,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a loss (Reward: 0).

Casino 1, visit 12: Choose Z or H.",49
47,50,3,13,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 3, visit 13: Choose Q or C.",50
47,51,1,13,Z,0,0.25,0,H,0.25,1,1,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 13: Choose Z or H.",51
47,52,4,16,F,0,0.75,0,G,0.75,1,1,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 4, visit 16: Choose G or F.",52
47,53,2,11,T,1,0.75,1,M,0.25,1,1,"Outcome: You chose Machine F and experienced a loss (Reward: 0). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 2, visit 11: Choose M or T.",53
47,54,3,14,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 3, visit 14: Choose Q or C.",54
47,55,1,14,H,0,0.25,0,Z,0.25,1,1,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 14: Choose Z or H.",55
47,56,2,12,T,1,0.75,1,M,0.25,1,1,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a win (Reward: 1).

Casino 2, visit 12: Choose M or T.",56
47,57,2,13,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 2, visit 13: Choose M or T.",57
47,58,1,15,Z,0,0.25,0,H,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 1, visit 15: Choose Z or H.",58
47,59,1,16,H,0,0.25,0,Z,0.25,1,1,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a loss (Reward: 0).

Casino 1, visit 16: Choose Z or H.",59
47,60,1,17,Z,0,0.25,0,H,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a win (Reward: 1).

Casino 1, visit 17: Choose Z or H.",60
47,61,2,14,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine Z and experienced a loss (Reward: 0). The other machine, Machine H, would have resulted in a loss (Reward: 0).

Casino 2, visit 14: Choose M or T.",61
47,62,2,15,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 2, visit 15: Choose M or T.",62
47,63,3,15,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 3, visit 15: Choose Q or C.",63
47,64,1,18,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 18: Choose Z or H.",64
47,65,3,16,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 3, visit 16: Choose Q or C.",65
47,66,2,16,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 2, visit 16: Choose M or T.",66
47,67,3,17,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 3, visit 17: Choose Q or C.",67
47,68,3,18,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 3, visit 18: Choose Q or C.",68
47,69,4,17,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 4, visit 17: Choose G or F.",69
47,70,3,19,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 3, visit 19: Choose Q or C.",70
47,71,2,17,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 2, visit 17: Choose M or T.",71
47,72,4,18,F,1,0.75,1,G,0.75,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 4, visit 18: Choose G or F.",72
47,73,2,18,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine F and experienced a win (Reward: 1). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 2, visit 18: Choose M or T.",73
47,74,4,19,F,0,0.75,0,G,0.75,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 4, visit 19: Choose G or F.",74
47,75,4,20,G,1,0.75,1,F,0.75,0,0,"Outcome: You chose Machine F and experienced a loss (Reward: 0). The other machine, Machine G, would have resulted in a win (Reward: 1).

Casino 4, visit 20: Choose G or F.",75
47,76,4,21,G,0,0.75,0,F,0.75,0,0,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a loss (Reward: 0).

Casino 4, visit 21: Choose G or F.",76
47,77,2,19,T,1,0.75,1,M,0.25,0,0,"Outcome: You chose Machine G and experienced a loss (Reward: 0). The other machine, Machine F, would have resulted in a loss (Reward: 0).

Casino 2, visit 19: Choose M or T.",77
47,78,2,20,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 2, visit 20: Choose M or T.",78
47,79,2,21,T,1,0.75,1,M,0.25,1,1,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 2, visit 21: Choose M or T.",79
47,80,2,22,T,0,0.75,0,M,0.25,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 2, visit 22: Choose M or T.",80
47,81,1,19,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 1, visit 19: Choose Z or H.",81
47,82,2,23,T,1,0.75,1,M,0.25,1,1,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 2, visit 23: Choose M or T.",82
47,83,4,22,G,0,0.75,0,F,0.75,0,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 4, visit 22: Choose G or F.",83
47,84,1,20,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine G and experienced a loss (Reward: 0). The other machine, Machine F, would have resulted in a loss (Reward: 0).

Casino 1, visit 20: Choose Z or H.",84
47,85,1,21,Z,1,0.25,1,H,0.25,1,1,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 1, visit 21: Choose Z or H.",85
47,86,3,20,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Z and experienced a win (Reward: 1). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 3, visit 20: Choose Q or C.",86
47,87,1,22,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 22: Choose Z or H.",87
47,88,3,21,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 3, visit 21: Choose Q or C.",88
47,89,3,22,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 3, visit 22: Choose Q or C.",89
47,90,2,24,T,0,0.75,0,M,0.25,0,0,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 2, visit 24: Choose M or T.",90
47,91,3,23,Q,1,0.75,1,C,0.25,0,0,"Outcome: You chose Machine T and experienced a loss (Reward: 0). The other machine, Machine M, would have resulted in a loss (Reward: 0).

Casino 3, visit 23: Choose Q or C.",91
47,92,4,23,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine Q and experienced a win (Reward: 1). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 4, visit 23: Choose G or F.",92
47,93,1,23,H,0,0.25,0,Z,0.25,0,0,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 1, visit 23: Choose Z or H.",93
47,94,4,24,G,1,0.75,1,F,0.75,1,1,"Outcome: You chose Machine H and experienced a loss (Reward: 0). The other machine, Machine Z, would have resulted in a loss (Reward: 0).

Casino 4, visit 24: Choose G or F.",94
47,95,3,24,Q,0,0.75,0,C,0.25,0,0,"Outcome: You chose Machine G and experienced a win (Reward: 1). The other machine, Machine F, would have resulted in a win (Reward: 1).

Casino 3, visit 24: Choose Q or C.",95
47,96,1,24,Z,0,0.25,0,H,0.25,0,0,"Outcome: You chose Machine Q and experienced a loss (Reward: 0). The other machine, Machine C, would have resulted in a loss (Reward: 0).

Casino 1, visit 24: Choose Z or H.",96
