subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,outcome_numeric,unchosen_machine_label,prob_of_no_loss_unchosen,counterfactual_reward,counterfactual_outcome_numeric,prompt_used,llm_history_context_turns
45,1,1,1,H,-1,0.25,0,Z,0.25,0,1,"Casino 1, visit 1: Choose Z or H.",1
45,2,4,1,G,0,0.75,1,F,0.75,0,1,"Outcome: You chose Machine H and experienced a loss (Reward: -1). The other machine, Machine Z, would have resulted in a win (Reward: 0).

Casino 4, visit 1: Choose G or F.",2
45,3,4,2,G,-1,0.75,0,F,0.75,0,1,"Outcome: You chose Machine G and experienced a win (Reward: 0). The other machine, Machine F, would have resulted in a win (Reward: 0).

Casino 4, visit 2: Choose G or F.",3
45,4,2,1,T,0,0.75,1,M,0.25,0,1,"Outcome: You chose Machine G and experienced a loss (Reward: -1). The other machine, Machine F, would have resulted in a win (Reward: 0).

Casino 2, visit 1: Choose M or T.",4
45,5,3,1,C,-1,0.25,0,Q,0.75,-1,0,"Outcome: You chose Machine T and experienced a win (Reward: 0). The other machine, Machine M, would have resulted in a win (Reward: 0).

Casino 3, visit 1: Choose Q or C.",5
45,6,4,3,F,0,0.75,1,G,0.75,0,1,"Outcome: You chose Machine C and experienced a loss (Reward: -1). The other machine, Machine Q, would have resulted in a loss (Reward: -1).

Casino 4, visit 3: Choose G or F.",6
45,7,4,4,F,-1,0.75,0,G,0.75,0,1,"Outcome: You chose Machine F and experienced a win (Reward: 0). The other machine, Machine G, would have resulted in a win (Reward: 0).

Casino 4, visit 4: Choose G or F.",7
45,8,2,2,M,-1,0.25,0,T,0.75,0,1,"Outcome: You chose Machine F and experienced a loss (Reward: -1). The other machine, Machine G, would have resulted in a win (Reward: 0).

Casino 2, visit 2: Choose M or T.",8
45,9,1,2,Z,0,0.25,1,H,0.25,-1,0,"Outcome: You chose Machine M and experienced a loss (Reward: -1). The other machine, Machine T, would have resulted in a win (Reward: 0).

Casino 1, visit 2: Choose Z or H.",9
45,10,4,5,F,0,0.75,1,G,0.75,-1,0,"Outcome: You chose Machine Z and experienced a win (Reward: 0). The other machine, Machine H, would have resulted in a loss (Reward: -1).

Casino 4, visit 5: Choose G or F.",10
