subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,win_probability,prompt_used,llm_history_context_turns
14,1,1,1,Z,0,0.25,"Casino 1, visit 1: Choose Z or H.",1
14,2,4,1,F,1,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 4, visit 1: Choose G or F.",2
14,3,4,2,F,1,0.75,"Machine F in Casino 4 delivered 1 points.

Casino 4, visit 2: Choose G or F.",3
14,4,2,1,T,1,0.75,"Machine F in Casino 4 delivered 1 points.

Casino 2, visit 1: Choose M or T.",4
14,5,3,1,C,0,0.25,"Machine T in Casino 2 delivered 1 points.

Casino 3, visit 1: Choose Q or C.",5
14,6,4,3,F,1,0.75,"Machine C in Casino 3 delivered 0 points.

Casino 4, visit 3: Choose G or F.",6
14,7,4,4,F,1,0.75,"Machine F in Casino 4 delivered 1 points.

Casino 4, visit 4: Choose G or F.",7
14,8,2,2,T,1,0.75,"Machine F in Casino 4 delivered 1 points.

Casino 2, visit 2: Choose M or T.",8
14,9,1,2,H,0,0.25,"Machine T in Casino 2 delivered 1 points.

Casino 1, visit 2: Choose Z or H.",9
14,10,4,5,F,0,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 4, visit 5: Choose G or F.",10
14,11,1,3,Z,0,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 1, visit 3: Choose Z or H.",11
14,12,1,4,H,0,0.25,"Machine Z in Casino 1 delivered 0 points.

Casino 1, visit 4: Choose Z or H.",12
14,13,2,3,T,1,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 2, visit 3: Choose M or T.",13
14,14,3,2,Q,1,0.75,"Machine T in Casino 2 delivered 1 points.

Casino 3, visit 2: Choose Q or C.",14
14,15,3,3,Q,1,0.75,"Machine Q in Casino 3 delivered 1 points.

Casino 3, visit 3: Choose Q or C.",15
14,16,1,5,Z,0,0.25,"Machine Q in Casino 3 delivered 1 points.

Casino 1, visit 5: Choose Z or H.",16
14,17,3,4,Q,0,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 3, visit 4: Choose Q or C.",17
14,18,2,4,T,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18
14,19,1,6,H,0,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 6: Choose Z or H.",19
